[2026-08-04 10:47:38] === starting DEFORM training: DLO_type=d003_v054 train_time_horizon=20 eval_time_horizon=100 max_update_steps=200 ===
[2026-08-04 10:47:38] GPU: NVIDIA GeForce RTX 2060 (cuda:0)
[2026-08-04 10:47:38] logging to logs/train_d003_v054.log
[2026-08-04 10:47:39] [data] precomputing mu_0 (bishop frames) for 56 train episodes, 8069056 frames total, on CPU
[2026-08-04 10:48:27] [data] [░░░░░░░░░░░░░░░░░░░░]   1.0% frames 78000/8069056 ep 5/56  1628 frames/s  ETA 4907s
[2026-08-04 10:48:28] [data] [░░░░░░░░░░░░░░░░░░░░]   1.0% frames 80000/8069056 ep 5/56  1632 frames/s  ETA 4894s
[2026-08-04 10:48:29] [data] [░░░░░░░░░░░░░░░░░░░░]   1.0% frames 82000/8069056 ep 5/56  1638 frames/s  ETA 4877s
[2026-08-04 10:48:30] [data] [░░░░░░░░░░░░░░░░░░░░]   1.0% frames 84000/8069056 ep 5/56  1641 frames/s  ETA 4866s
[2026-08-04 10:48:31] [data] [░░░░░░░░░░░░░░░░░░░░]   1.1% frames 86000/8069056 ep 5/56  1645 frames/s  ETA 4853s
[2026-08-04 10:48:32] [data] [░░░░░░░░░░░░░░░░░░░░]   1.1% frames 88000/8069056 ep 5/56  1649 frames/s  ETA 4839s
[2026-08-04 10:48:33] [data] [░░░░░░░░░░░░░░░░░░░░]   1.1% frames 90000/8069056 ep 5/56  1653 frames/s  ETA 4826s
[2026-08-04 10:48:34] [data] [░░░░░░░░░░░░░░░░░░░░]   1.1% frames 92000/8069056 ep 5/56  1657 frames/s  ETA 4814s
[2026-08-04 10:48:35] [data] [░░░░░░░░░░░░░░░░░░░░]   1.2% frames 94000/8069056 ep 5/56  1662 frames/s  ETA 4799s
[2026-08-04 10:48:36] [data] [░░░░░░░░░░░░░░░░░░░░]   1.2% frames 96000/8069056 ep 5/56  1665 frames/s  ETA 4789s
[2026-08-04 10:48:37] [data] [░░░░░░░░░░░░░░░░░░░░]   1.2% frames 98000/8069056 ep 5/56  1669 frames/s  ETA 4776s
[2026-08-04 10:48:39] [data] [░░░░░░░░░░░░░░░░░░░░]   1.2% frames 100000/8069056 ep 5/56  1671 frames/s  ETA 4769s
[2026-08-04 10:48:40] [data] [░░░░░░░░░░░░░░░░░░░░]   1.3% frames 102000/8069056 ep 5/56  1674 frames/s  ETA 4760s
[2026-08-04 10:48:41] [data] [░░░░░░░░░░░░░░░░░░░░]   1.3% frames 104000/8069056 ep 5/56  1677 frames/s  ETA 4749s
[2026-08-04 10:48:42] [data] [░░░░░░░░░░░░░░░░░░░░]   1.3% frames 106000/8069056 ep 5/56  1681 frames/s  ETA 4737s
[2026-08-04 10:48:43] [data] [░░░░░░░░░░░░░░░░░░░░]   1.3% frames 108000/8069056 ep 6/56  1682 frames/s  ETA 4734s
[2026-08-04 10:48:44] [data] [░░░░░░░░░░░░░░░░░░░░]   1.4% frames 110000/8069056 ep 6/56  1684 frames/s  ETA 4726s
[2026-08-04 10:48:45] [data] [░░░░░░░░░░░░░░░░░░░░]   1.4% frames 112000/8069056 ep 6/56  1687 frames/s  ETA 4715s
[2026-08-04 10:48:46] [data] [░░░░░░░░░░░░░░░░░░░░]   1.4% frames 114000/8069056 ep 6/56  1690 frames/s  ETA 4708s
[2026-08-04 10:48:47] [data] [░░░░░░░░░░░░░░░░░░░░]   1.4% frames 116000/8069056 ep 6/56  1692 frames/s  ETA 4702s
[2026-08-04 10:48:48] [data] [░░░░░░░░░░░░░░░░░░░░]   1.5% frames 118000/8069056 ep 6/56  1694 frames/s  ETA 4693s
[2026-08-04 10:48:49] [data] [░░░░░░░░░░░░░░░░░░░░]   1.5% frames 120000/8069056 ep 6/56  1698 frames/s  ETA 4681s
[2026-08-04 10:48:50] [data] [░░░░░░░░░░░░░░░░░░░░]   1.5% frames 122000/8069056 ep 6/56  1702 frames/s  ETA 4670s
[2026-08-04 10:48:52] [data] [░░░░░░░░░░░░░░░░░░░░]   1.5% frames 124000/8069056 ep 6/56  1703 frames/s  ETA 4665s
[2026-08-04 10:48:53] [data] [░░░░░░░░░░░░░░░░░░░░]   1.6% frames 126000/8069056 ep 6/56  1707 frames/s  ETA 4653s
[2026-08-04 10:48:53] [data] [░░░░░░░░░░░░░░░░░░░░]   1.6% frames 128000/8069056 ep 6/56  1712 frames/s  ETA 4639s
[2026-08-04 10:48:55] [data] [░░░░░░░░░░░░░░░░░░░░]   1.6% frames 130000/8069056 ep 6/56  1715 frames/s  ETA 4629s
[2026-08-04 10:48:56] [data] [░░░░░░░░░░░░░░░░░░░░]   1.6% frames 132000/8069056 ep 6/56  1717 frames/s  ETA 4622s
[2026-08-04 10:48:57] [data] [░░░░░░░░░░░░░░░░░░░░]   1.7% frames 134000/8069056 ep 7/56  1717 frames/s  ETA 4620s
[2026-08-04 10:48:58] [data] [░░░░░░░░░░░░░░░░░░░░]   1.7% frames 136000/8069056 ep 7/56  1720 frames/s  ETA 4613s
[2026-08-04 10:48:59] [data] [░░░░░░░░░░░░░░░░░░░░]   1.7% frames 138000/8069056 ep 7/56  1720 frames/s  ETA 4610s
[2026-08-04 10:49:00] [data] [░░░░░░░░░░░░░░░░░░░░]   1.7% frames 140000/8069056 ep 7/56  1722 frames/s  ETA 4604s
[2026-08-04 10:49:01] [data] [░░░░░░░░░░░░░░░░░░░░]   1.8% frames 142000/8069056 ep 7/56  1725 frames/s  ETA 4597s
[2026-08-04 10:49:02] [data] [░░░░░░░░░░░░░░░░░░░░]   1.8% frames 144000/8069056 ep 8/56  1726 frames/s  ETA 4590s
[2026-08-04 10:49:03] [data] [░░░░░░░░░░░░░░░░░░░░]   1.8% frames 146000/8069056 ep 8/56  1727 frames/s  ETA 4587s
[2026-08-04 10:49:04] [data] [░░░░░░░░░░░░░░░░░░░░]   1.8% frames 148000/8069056 ep 9/56  1727 frames/s  ETA 4586s
[2026-08-04 10:49:05] [data] [░░░░░░░░░░░░░░░░░░░░]   1.9% frames 150000/8069056 ep 9/56  1729 frames/s  ETA 4581s
[2026-08-04 10:49:06] [data] [░░░░░░░░░░░░░░░░░░░░]   1.9% frames 152000/8069056 ep 9/56  1732 frames/s  ETA 4572s
[2026-08-04 10:49:08] [data] [░░░░░░░░░░░░░░░░░░░░]   1.9% frames 154000/8069056 ep 9/56  1734 frames/s  ETA 4564s
[2026-08-04 10:49:09] [data] [░░░░░░░░░░░░░░░░░░░░]   1.9% frames 156000/8069056 ep 9/56  1735 frames/s  ETA 4561s
[2026-08-04 10:49:10] [data] [░░░░░░░░░░░░░░░░░░░░]   2.0% frames 158000/8069056 ep 10/56  1737 frames/s  ETA 4554s
[2026-08-04 10:49:11] [data] [░░░░░░░░░░░░░░░░░░░░]   2.0% frames 160000/8069056 ep 10/56  1739 frames/s  ETA 4547s
[2026-08-04 10:49:12] [data] [░░░░░░░░░░░░░░░░░░░░]   2.0% frames 162000/8069056 ep 10/56  1742 frames/s  ETA 4540s
[2026-08-04 10:49:13] [data] [░░░░░░░░░░░░░░░░░░░░]   2.0% frames 164000/8069056 ep 10/56  1744 frames/s  ETA 4533s
[2026-08-04 10:49:14] [data] [░░░░░░░░░░░░░░░░░░░░]   2.1% frames 166000/8069056 ep 10/56  1747 frames/s  ETA 4524s
[2026-08-04 10:49:15] [data] [░░░░░░░░░░░░░░░░░░░░]   2.1% frames 168000/8069056 ep 10/56  1749 frames/s  ETA 4518s
[2026-08-04 10:49:16] [data] [░░░░░░░░░░░░░░░░░░░░]   2.1% frames 170000/8069056 ep 10/56  1750 frames/s  ETA 4513s
[2026-08-04 10:49:17] [data] [░░░░░░░░░░░░░░░░░░░░]   2.1% frames 172000/8069056 ep 10/56  1753 frames/s  ETA 4505s
[2026-08-04 10:49:18] [data] [░░░░░░░░░░░░░░░░░░░░]   2.2% frames 174000/8069056 ep 10/56  1756 frames/s  ETA 4497s
[2026-08-04 10:49:19] [data] [░░░░░░░░░░░░░░░░░░░░]   2.2% frames 176000/8069056 ep 10/56  1757 frames/s  ETA 4493s
[2026-08-04 10:49:20] [data] [░░░░░░░░░░░░░░░░░░░░]   2.2% frames 178000/8069056 ep 10/56  1758 frames/s  ETA 4489s
[2026-08-04 10:49:21] [data] [░░░░░░░░░░░░░░░░░░░░]   2.2% frames 180000/8069056 ep 10/56  1759 frames/s  ETA 4484s
[2026-08-04 10:49:22] [data] [░░░░░░░░░░░░░░░░░░░░]   2.3% frames 182000/8069056 ep 10/56  1760 frames/s  ETA 4480s
[2026-08-04 10:49:23] [data] [░░░░░░░░░░░░░░░░░░░░]   2.3% frames 184000/8069056 ep 10/56  1762 frames/s  ETA 4476s
[2026-08-04 10:49:24] [data] [░░░░░░░░░░░░░░░░░░░░]   2.3% frames 186000/8069056 ep 10/56  1764 frames/s  ETA 4469s
[2026-08-04 10:49:25] [data] [░░░░░░░░░░░░░░░░░░░░]   2.3% frames 188000/8069056 ep 10/56  1763 frames/s  ETA 4471s
[2026-08-04 10:49:26] [data] [░░░░░░░░░░░░░░░░░░░░]   2.4% frames 190000/8069056 ep 10/56  1763 frames/s  ETA 4469s
[2026-08-04 10:49:28] [data] [░░░░░░░░░░░░░░░░░░░░]   2.4% frames 192000/8069056 ep 11/56  1760 frames/s  ETA 4477s
[2026-08-04 10:49:29] [data] [░░░░░░░░░░░░░░░░░░░░]   2.4% frames 194000/8069056 ep 11/56  1761 frames/s  ETA 4472s
[2026-08-04 10:49:30] [data] [░░░░░░░░░░░░░░░░░░░░]   2.4% frames 196000/8069056 ep 11/56  1762 frames/s  ETA 4468s
[2026-08-04 10:49:31] [data] [░░░░░░░░░░░░░░░░░░░░]   2.5% frames 198000/8069056 ep 11/56  1762 frames/s  ETA 4466s
[2026-08-04 10:49:32] [data] [░░░░░░░░░░░░░░░░░░░░]   2.5% frames 200000/8069056 ep 11/56  1762 frames/s  ETA 4466s
